Cohort,Population,Vaccinated
"23Q1",158166,45275
"23Q2",164581,35248
"23Q3",173571,35374 
"23Q4",169942,35374
"24Q1",159366,25801 
"24Q2",171153,27291 
"24Q3",182537,30939
