Pattern,n,pr
1 1 1 1,47307,0.7621310735919578
0 0 0 0,3084,0.0496842376594922
0 1 1 1,2377,0.038294238948318085
0 0 1 1,2013,0.032430081196030414
0 0 0 1,1717,0.027661425441422863
1 1 1 0,1528,0.02461657430081196
1 1 0 0,837,0.013484340765562573
1 0 1 1,781,0.012582162649826008
1 1 0 1,597,0.009617863126691583
1 0 0 0,549,0.008844567598917386
